Length,Spost,Epost,Score
15,3655,477,0.38531
15,3654,393,0.38515
15,3653,844,0.38449
15,3635,33,0.38394
15,3612,223,0.38267
15,3605,527,0.3822
15,3598,272,0.38193
15,3597,1658,0.38128
15,3582,1367,0.38127
15,3573,1367,0.38127
15,3546,864,0.38076
15,3541,1468,0.38007
15,3489,407,0.37972
15,3488,170,0.3786
15,3482,60,0.37851
15,3482,473,0.37805
15,3481,745,0.37778
15,3470,435,0.37775
15,3467,407,0.37768
15,3462,3495,0.37618
15,3437,126,0.3758
15,3424,41,0.37536
15,3381,2950,0.37355
15,3374,177,0.37351
15,3364,355,0.37306
15,3364,3475,0.37264
15,3341,15,0.37206
15,3332,2885,0.37164
15,3330,960,0.3706
15,3329,1709,0.37057
15,3316,200,0.36926
15,3312,1367,0.36894
15,3308,167,0.36809
15,3202,2339,0.36792
15,3200,1353,0.36697
15,3199,96,0.3668
15,3197,1376,0.36648
15,3191,468,0.36647
15,3179,1135,0.36629
15,3157,137,0.36614
15,3153,113,0.3655
15,3152,4481,0.36493
15,3152,6677,0.36405
15,3151,146,0.36312
15,3151,235,0.36278
15,3151,1070,0.36258
15,3138,1130,0.36234
15,3137,507,0.36191
15,3136,775,0.36177
15,3131,2238,0.36146
15,3122,1983,0.36127
15,3115,100,0.36098
15,3113,176,0.36018
15,3113,1377,0.36
15,3109,1377,0.36
15,3108,845,0.35916
15,3106,4502,0.35859
15,3060,417,0.35852
15,3054,2666,0.35786
15,3054,108,0.35774
15,3052,116,0.35774
15,3047,36,0.3574
15,3022,112,0.35734
15,3013,1135,0.35719
15,3013,200,0.35681
15,3003,171,0.35663
15,2998,2290,0.35651
15,2973,6228,0.35596
15,2968,2982,0.35592
15,2965,6758,0.35544
15,2960,265,0.35543
15,2956,387,0.35433
15,2952,34,0.35397
15,2949,259,0.35397
15,2949,1183,0.35384
15,2947,1183,0.35384
15,2947,197,0.35361
15,2946,244,0.35213
15,2942,412,0.35196
15,2941,1376,0.35178
15,2936,583,0.35162
15,2936,1107,0.35133
15,2936,339,0.35125
15,2917,890,0.35124
15,2912,1025,0.35087
15,2901,1575,0.35065
15,2900,145,0.34997
15,2898,1393,0.34992
15,2893,2290,0.34925
15,2889,2955,0.3491
15,2885,39,0.34905
15,2884,74,0.34865
15,2882,1237,0.34844
15,2881,29,0.34765
15,2879,2963,0.34732
15,2877,20,0.34712
15,2875,4532,0.34692
15,2872,160,0.34672
15,2870,1790,0.34602
15,2869,33,0.34563
15,2864,2323,0.3453
15,2858,1635,0.34479
15,2854,4602,0.34477
15,2850,6758,0.34464
15,2847,1690,0.34426
15,2846,182,0.34394
15,2843,13,0.34382
15,2841,339,0.34379
15,2835,271,0.34362
15,2832,2590,0.34344
15,2831,140,0.34338
15,2831,351,0.34337
15,2828,1688,0.3429
15,2828,169,0.34285
15,2822,16,0.3426
15,2821,1985,0.3419
15,2821,410,0.34189
15,2821,1983,0.34164
15,2821,275,0.34155
15,2819,2907,0.34147
15,2819,331,0.34146
15,2816,1710,0.34124
15,2816,56,0.3411
15,2807,127,0.34101
15,2804,113,0.34101
15,2803,1058,0.34096
15,2803,86,0.34049
15,2799,86,0.34049
15,2788,163,0.34037
15,2788,1816,0.34021
15,2785,1816,0.34021
15,2784,1822,0.34021
15,2782,323,0.33997
15,2781,377,0.33992
15,2777,3154,0.3389
15,2773,301,0.33855
15,2772,86,0.33841
15,2771,86,0.33841
15,2755,440,0.3383
15,2749,670,0.33794
15,2748,168,0.33762
15,2729,315,0.33759
15,2704,51,0.33757
15,2703,630,0.33689
15,2688,37,0.33684
15,2684,144,0.3368
15,2679,426,0.3365
15,2660,3761,0.33636
15,2652,111,0.33618
15,2643,174,0.33576
15,2629,621,0.3346
15,2622,38,0.33458
15,2611,1331,0.33448
15,2607,388,0.33445
15,2607,2340,0.3343
15,2605,495,0.33403
15,2598,2607,0.33395
15,2590,6011,0.33392
15,2589,675,0.33383
15,2589,185,0.33372
15,2582,980,0.33266
15,2577,430,0.33219
15,2571,6117,0.33197
15,2570,2430,0.33173
15,2559,1419,0.33139
15,2544,379,0.33128
15,2539,461,0.33108
15,2496,3160,0.33078
15,2474,6689,0.33037
15,2473,845,0.33033
15,2464,483,0.32995
15,2463,2835,0.32995
15,2453,57,0.32994
15,2445,244,0.32987
15,2434,40,0.32977
15,2425,55,0.32959
15,2424,1068,0.32916
15,2422,85,0.32812
15,2420,85,0.32812
15,2415,350,0.3281
15,2403,1319,0.3281
15,2394,2891,0.32774
15,2388,85,0.32668
15,2384,85,0.32668
15,2382,1672,0.32667
15,2366,2391,0.32633
15,2363,3761,0.3263
15,2358,125,0.32574
15,2355,321,0.32566
15,2353,1366,0.32551
15,2351,2235,0.32534
15,2351,233,0.32522
15,2350,272,0.32521
15,2349,1531,0.32521
15,2348,37,0.32463
15,2348,143,0.32438
15,2347,2237,0.32402
15,2347,174,0.32387
15,2338,174,0.32387
15,2334,174,0.32387
15,2333,400,0.32362
15,2332,359,0.32354
15,2331,5479,0.32348
15,2331,3146,0.32333
15,2330,253,0.32314
15,2330,1553,0.32308
15,2326,120,0.32296
15,2325,1001,0.32292
15,2325,569,0.32283
15,2323,2862,0.32256
15,2323,299,0.32191
15,2322,1552,0.32182
15,2321,234,0.32154
15,2319,67,0.32118
15,2318,891,0.32077
15,2318,377,0.32024
15,2314,715,0.31977
15,2300,1467,0.31963
15,2286,2334,0.31936
15,2284,115,0.3193
15,2282,400,0.31873
15,2282,377,0.31868
15,2281,24,0.31856
15,2280,672,0.31789
15,2279,1237,0.3178
15,2278,1027,0.3176
15,2276,323,0.31759
15,2273,159,0.31752
15,2273,6089,0.31693
15,2272,2830,0.31684
15,2268,2151,0.3163
15,2246,902,0.31556
15,2230,636,0.31555
15,2230,59,0.31534
15,2229,114,0.31512
15,2229,5316,0.31503
15,2228,95,0.31494
15,2226,564,0.31433
15,2225,1217,0.31425
15,2225,1289,0.31359
15,2225,2076,0.31303
15,2225,1216,0.31276
15,2224,631,0.3126
15,2221,253,0.3123
15,2214,5138,0.31201
15,2210,348,0.31162
15,2209,890,0.31162
15,2208,892,0.31162
15,2194,123,0.31073
15,2192,5823,0.31056
15,2169,50,0.3104
15,2168,1556,0.31026
15,2168,298,0.31008
15,2167,2341,0.30988
15,2161,343,0.30968
15,2149,343,0.30968
15,2142,1020,0.30907
15,2142,252,0.30883
15,2140,2687,0.30846
15,2137,1825,0.30842
15,2134,135,0.30841
15,2132,116,0.30796
15,2132,971,0.30775
15,2126,4622,0.3075
15,2125,1210,0.30716
15,2125,323,0.30709
15,2124,160,0.30608
15,2124,202,0.3057
15,2121,202,0.3057
15,2121,66,0.30484
15,2119,79,0.30442
15,2118,5312,0.30398
15,2115,133,0.30364
15,2094,71,0.30356
15,2091,150,0.3028
15,2088,347,0.30274
15,2086,3160,0.30249
15,2084,13,0.30241
15,2083,142,0.30222
15,2077,218,0.30214
15,2069,49,0.3021
15,2068,684,0.3021
15,2062,35,0.30205
15,2057,104,0.30204
15,2053,74,0.30198
15,2049,212,0.30191
15,2049,28,0.30188
15,2048,156,0.30175
15,2047,2552,0.30145
14,2031,1012,0.30139
14,2028,357,0.30067
14,2026,50,0.30019
14,2024,165,0.29987
14,2019,57,0.29934
14,2017,2077,0.2989
14,2011,1501,0.29888
14,2003,245,0.29879
14,2002,514,0.2987
14,2001,81,0.298
14,2001,4993,0.29793
14,2000,210,0.29743
14,1993,620,0.29717
14,1987,2908,0.29695
14,1987,154,0.2964
14,1984,2150,0.29639
14,1984,1104,0.29638
14,1983,128,0.29614
14,1976,340,0.29554
14,1975,246,0.29535
14,1975,283,0.29515
14,1975,3026,0.29489
14,1975,14,0.29473
14,1974,112,0.2944
14,1973,158,0.29421
14,1971,95,0.29417
14,1967,96,0.29417
14,1966,95,0.29391
14,1956,752,0.2938
14,1941,23,0.29352
14,1930,31,0.29343
14,1923,845,0.29319
14,1923,276,0.29242
14,1923,197,0.29241
14,1919,138,0.29238
14,1916,24,0.29164
13,1897,217,0.29147
13,1896,134,0.2913
13,1894,47,0.29071
13,1891,2333,0.29037
13,1887,225,0.29036
13,1874,740,0.29015
13,1873,699,0.28982
13,1859,204,0.28977
13,1858,564,0.28958
13,1857,509,0.28956
13,1852,78,0.28954
13,1852,17,0.28951
13,1851,2065,0.28948
13,1846,726,0.28896
13,1830,263,0.28866
13,1821,118,0.28861
13,1813,2785,0.2883
13,1811,1096,0.28821
13,1811,250,0.28798
13,1810,2070,0.28738
13,1810,1399,0.28717
13,1807,461,0.28678
13,1807,69,0.28678
13,1791,97,0.28673
13,1789,49,0.2866
13,1779,230,0.28652
13,1776,168,0.28556
13,1768,94,0.28538
13,1765,116,0.28513
13,1758,1386,0.28478
13,1755,1375,0.28475
13,1751,195,0.28395
13,1750,1333,0.28342
13,1747,1333,0.28342
13,1743,617,0.28333
13,1734,617,0.28333
13,1734,2327,0.28308
13,1734,426,0.28286
13,1726,4052,0.28263
12,1714,83,0.2826
12,1713,11,0.28259
12,1707,1860,0.28243
12,1707,2790,0.28227
12,1706,115,0.28184
12,1705,271,0.28158
12,1700,835,0.28158
12,1699,6988,0.28124
12,1698,197,0.28109
12,1697,356,0.28107
12,1697,86,0.28107
12,1695,25,0.281
12,1687,494,0.27936
12,1682,300,0.27928
12,1680,2433,0.27922
12,1676,68,0.27885
12,1675,305,0.27849
12,1675,90,0.27772
12,1666,1819,0.27762
12,1662,3475,0.27719
12,1658,171,0.27707
12,1654,833,0.277
12,1650,160,0.27692
12,1646,1220,0.27684
12,1645,180,0.27669
12,1641,663,0.27646
11,1637,604,0.27642
11,1636,6451,0.27639
11,1636,172,0.27608
11,1636,618,0.27589
11,1635,472,0.27588
11,1634,56,0.27566
11,1627,2062,0.27524
11,1627,37,0.27445
11,1581,38,0.27435
11,1581,616,0.27367
11,1581,63,0.27363
11,1577,132,0.27346
11,1566,1706,0.27343
11,1565,54,0.27333
11,1563,61,0.27321
11,1561,18,0.27259
11,1560,934,0.27241
11,1556,1228,0.27206
11,1555,335,0.27174
11,1548,1082,0.27138
11,1546,1086,0.27138
11,1544,1083,0.27138
11,1538,488,0.27127
11,1538,114,0.27126
11,1536,52,0.2707
11,1531,44,0.2707
11,1531,104,0.27068
11,1529,528,0.26965
11,1523,169,0.26923
11,1516,351,0.2692
11,1499,530,0.26873
11,1498,35,0.26836
11,1497,1216,0.26832
11,1497,34,0.2683
11,1492,61,0.26817
11,1482,480,0.26769
11,1477,720,0.26757
11,1459,2281,0.26752
11,1459,2359,0.26702
11,1458,156,0.26692
11,1457,5781,0.26683
11,1454,334,0.26683
11,1454,166,0.26674
11,1447,51,0.26629
11,1444,76,0.26615
11,1443,37,0.26602
11,1439,215,0.26588
11,1437,1927,0.26588
11,1435,797,0.26577
11,1431,797,0.26577
11,1422,21,0.26544
11,1416,2453,0.26543
11,1416,384,0.26521
11,1415,910,0.26515
11,1415,2281,0.26507
11,1411,550,0.26442
11,1411,297,0.26418
11,1410,86,0.26408
11,1410,2909,0.26401
11,1410,4102,0.26371
11,1409,48,0.2634
11,1409,1327,0.2634
11,1409,25,0.26315
11,1409,32,0.26284
11,1409,180,0.26258
11,1408,1156,0.26255
11,1408,180,0.26228
11,1408,151,0.26228
11,1408,4742,0.26223
11,1407,86,0.262
11,1407,50,0.26164
11,1406,330,0.26142
11,1406,6110,0.26126
11,1406,34,0.26115
11,1406,165,0.26111
11,1406,5097,0.26079
11,1406,58,0.26074
11,1406,207,0.26044
11,1406,403,0.26042
11,1406,146,0.2601
11,1406,122,0.25942
11,1406,3776,0.25884
11,1406,2176,0.25876
11,1405,729,0.2586
11,1404,113,0.25835
11,1403,33,0.25834
11,1401,2281,0.25822
11,1388,244,0.25801
11,1387,1334,0.258
11,1387,408,0.25778
11,1386,426,0.25778
11,1383,2176,0.25778
11,1383,871,0.2577
11,1381,167,0.25767
11,1378,722,0.25659
11,1376,144,0.25658
11,1376,1895,0.25658
11,1376,335,0.25651
11,1375,93,0.25628
11,1372,628,0.25606
11,1371,3490,0.25596
11,1371,1788,0.25589
11,1369,67,0.2551
11,1368,516,0.25496
11,1368,172,0.25459
11,1367,271,0.25457
11,1367,3760,0.25451
11,1367,63,0.25447
11,1366,194,0.25431
11,1365,2291,0.25417
11,1364,1278,0.2541
11,1361,95,0.25395
11,1359,51,0.25387
11,1359,1142,0.25375
11,1359,28,0.25355
11,1358,136,0.25291
11,1357,1539,0.25287
11,1355,397,0.25241
11,1342,234,0.25233
11,1337,4707,0.25225
11,1336,123,0.2518
11,1336,15,0.25171
11,1335,285,0.25158
11,1335,289,0.25136
11,1325,402,0.25123
11,1324,86,0.25109
11,1324,86,0.25109
11,1322,96,0.25108
11,1322,1013,0.25055
11,1322,23,0.25044
11,1321,85,0.25027
11,1321,242,0.25013
11,1321,367,0.24992
11,1320,3062,0.24963
11,1320,27,0.24922
11,1319,86,0.24901
11,1318,59,0.24901
11,1316,91,0.24888
11,1311,107,0.24888
11,1310,1330,0.24868
11,1310,271,0.24864
11,1309,639,0.2486
11,1296,76,0.24842
11,1294,1417,0.24833
11,1290,62,0.24802
11,1288,1291,0.24766
11,1286,870,0.24732
11,1285,2858,0.24717
10,1285,289,0.24672
10,1284,1418,0.24644
10,1283,1418,0.24644
10,1282,36,0.24642
10,1281,754,0.24629
10,1279,3490,0.24627
10,1275,286,0.24622
10,1273,5322,0.24589
10,1272,491,0.24571
10,1271,198,0.24568
10,1270,4900,0.24538
10,1270,1948,0.24529
10,1269,532,0.24503
10,1267,35,0.2447
10,1267,125,0.2446
10,1260,57,0.24457
10,1256,185,0.24446
10,1256,55,0.24422
10,1248,63,0.24417
10,1248,2233,0.24399
10,1248,239,0.24395
10,1247,6757,0.24386
10,1237,1386,0.24383
10,1229,263,0.24347
10,1228,87,0.24336
10,1225,389,0.24321
10,1223,2176,0.24316
10,1221,60,0.24302
10,1220,5254,0.24273
10,1215,494,0.24265
10,1214,161,0.24245
10,1212,798,0.24196
10,1212,85,0.2417
10,1211,85,0.2417
10,1211,3740,0.24141
10,1211,539,0.2414
10,1211,6509,0.24122
10,1211,354,0.2411
10,1210,172,0.24094
10,1209,42,0.24094
10,1208,36,0.24073
10,1208,299,0.24063
10,1207,68,0.24053
10,1207,3909,0.24049
10,1207,125,0.24046
10,1206,10,0.24036
10,1206,85,0.24026
10,1206,85,0.24026
10,1205,221,0.24004
10,1205,5141,0.24003
10,1202,333,0.24003
10,1201,154,0.23977
10,1194,2287,0.2394
10,1193,127,0.23905
10,1192,262,0.23895
10,1188,618,0.23848
10,1184,274,0.23848
10,1181,195,0.23844
10,1179,2314,0.23841
10,1175,359,0.23824
10,1175,51,0.23802
10,1175,747,0.23783
10,1175,227,0.23772
10,1175,54,0.2376
10,1174,59,0.23734
10,1173,185,0.23729
10,1170,120,0.23721
10,1169,2829,0.23714
10,1169,4091,0.23712
10,1158,4052,0.23703
10,1155,337,0.23668
10,1153,674,0.23667
10,1153,367,0.23666
10,1152,52,0.23651
10,1149,521,0.2365
10,1148,154,0.23647
10,1148,5142,0.23628
10,1147,25,0.23616
10,1138,17,0.23613
10,1135,5463,0.236
10,1134,120,0.23599
10,1133,198,0.23564
10,1131,192,0.23561
10,1125,126,0.23537
10,1122,266,0.23502
10,1121,1012,0.23475
10,1117,258,0.2346
10,1115,159,0.23454
10,1114,835,0.23434
10,1114,218,0.23434
10,1111,31,0.23424
10,1111,67,0.23398
10,1106,92,0.23373
10,1102,1931,0.2337
10,1101,4091,0.23364
10,1101,513,0.23337
10,1100,115,0.23327
10,1099,6162,0.23318
10,1097,209,0.23315
10,1097,1304,0.23304
10,1095,61,0.23283
10,1095,288,0.23262
10,1095,333,0.23257
10,1095,12,0.23237
10,1094,2630,0.2323
10,1091,4733,0.23204
10,1090,58,0.23199
10,1089,2616,0.23163
10,1087,1855,0.23152
10,1082,4732,0.2315
10,1078,4867,0.23144
10,1078,505,0.23116
10,1078,1081,0.23107
10,1077,1085,0.23107
10,1077,1081,0.23107
10,1075,1081,0.23107
10,1074,5276,0.23099
10,1074,165,0.2309
10,1073,728,0.2308
10,1073,2294,0.2308
10,1073,2504,0.23078
10,1073,718,0.23071
10,1073,316,0.22998
10,1073,219,0.22953
10,1073,26,0.22913
10,1073,338,0.22911
10,1071,505,0.22908
10,1071,161,0.22902
10,1071,5132,0.22901
10,1069,1081,0.22897
10,1067,69,0.22897
10,1066,1081,0.22897
10,1065,229,0.22872
10,1064,2149,0.22856
10,1062,720,0.2284
10,1060,290,0.22821
10,1059,49,0.22818
10,1056,1022,0.22813
10,1056,256,0.22806
10,1056,56,0.22775
10,1056,468,0.22769
10,1056,670,0.22755
10,1055,374,0.2274
10,1054,32,0.22729
10,1051,149,0.22722
10,1049,3213,0.22676
10,1049,327,0.22673
10,1039,868,0.22651
10,1038,2472,0.22648
10,1038,306,0.22638
10,1031,2337,0.22626
10,1022,1115,0.2261
10,1019,105,0.22572
10,1016,137,0.22568
10,1016,2171,0.22564
10,1014,3590,0.22547
10,1014,273,0.22537
10,1013,118,0.22519
10,1012,86,0.22488
10,1011,347,0.22473
10,1006,202,0.22446
10,1005,202,0.22446
10,1004,1720,0.22431
10,1004,1095,0.22421
10,1004,193,0.22413
10,1000,113,0.22373
10,1000,103,0.22362
10,996,369,0.22336
10,992,565,0.22318
10,991,4817,0.22313
10,990,232,0.22309
10,989,1187,0.22304
10,989,86,0.2228
10,987,553,0.22273
10,983,1063,0.22246
10,978,3613,0.2224
10,977,263,0.22238
10,976,45,0.2221
10,975,45,0.2221
10,975,46,0.2221
10,966,1902,0.222
10,963,5282,0.2218
10,961,5924,0.2211
10,960,186,0.22105
10,958,527,0.22099
10,957,7029,0.22081
10,954,1291,0.22062
10,947,1294,0.22062
10,942,1282,0.22062
10,941,1284,0.22062
10,940,489,0.22039
10,934,969,0.2202
10,931,121,0.22017
10,925,222,0.22017
10,925,1415,0.21982
10,921,331,0.21978
10,919,1550,0.21951
10,914,293,0.21941
10,913,178,0.21941
10,910,268,0.2194
10,909,1298,0.21938
10,906,369,0.21934
10,906,260,0.21926
10,902,2586,0.21926
10,900,164,0.21898
10,897,86,0.21897
10,895,86,0.21897
10,894,4802,0.21869
10,893,174,0.21869
10,889,109,0.2186
10,888,449,0.21856
10,887,34,0.2185
10,886,4612,0.21843
10,886,522,0.2179
10,885,1415,0.21765
10,883,116,0.21764
10,882,634,0.21755
10,881,5694,0.21747
10,881,205,0.21736
10,881,40,0.21733
10,881,107,0.21713
10,881,86,0.21689
10,880,86,0.21689
10,870,54,0.21682
10,867,1344,0.21669
10,865,575,0.2163
10,864,1216,0.21624
10,864,166,0.21609
10,863,150,0.21604
10,862,4652,0.21604
10,862,158,0.21599
10,862,1064,0.21598
10,861,43,0.21598
10,860,1278,0.21559
10,860,4932,0.21555
10,857,102,0.21546
10,857,1983,0.21546
10,857,300,0.2154
10,850,174,0.21539
10,850,143,0.2153
10,848,710,0.21515
10,844,55,0.21515
10,843,38,0.21507
10,843,4437,0.21475
10,843,91,0.21444
10,838,1867,0.21438
10,838,136,0.21408
10,838,1108,0.21399
10,838,622,0.21393
10,838,1183,0.21344
10,837,1156,0.21344
10,837,347,0.21291
10,836,319,0.21284
10,834,85,0.21251
10,829,426,0.2125
10,828,85,0.21225
10,827,242,0.21209
10,827,51,0.21209
10,825,251,0.21207
10,817,202,0.21204
10,816,272,0.21204
10,813,1104,0.21202
10,811,101,0.21181
10,808,207,0.21168
10,808,137,0.21168
10,807,122,0.21166
10,807,159,0.21126
10,805,1742,0.21117
10,804,85,0.21107
10,804,5262,0.21098
10,790,394,0.21096
10,790,365,0.21088
10,790,242,0.21082
10,790,129,0.21081
10,789,426,0.2108
10,789,28,0.21072
10,781,1375,0.21068
10,780,37,0.21055
10,780,626,0.21049
10,774,331,0.2104
10,774,395,0.21029
10,773,17,0.21019
10,771,520,0.21018
10,771,379,0.20976
10,769,1281,0.20946
10,769,165,0.20942
10,764,891,0.20928
10,761,369,0.20927
10,761,140,0.20914
10,761,205,0.20913
10,759,4080,0.20908
10,757,229,0.20908
10,756,362,0.20905
10,756,91,0.20886
10,755,119,0.20867
10,752,269,0.20866
10,745,104,0.20864
10,745,35,0.20856
10,744,2236,0.20844
10,744,1067,0.20837
10,743,4597,0.2083
10,743,1063,0.20814
10,741,108,0.20799
10,740,75,0.2079
10,737,889,0.20785
10,737,212,0.20771
10,735,4541,0.20743
10,733,2713,0.20738
10,732,106,0.20738
10,731,1985,0.20706
10,726,698,0.20691
10,725,570,0.2068
10,725,85,0.2066
10,723,85,0.2066
10,721,473,0.20642
10,721,1298,0.20637
10,721,55,0.20634
10,721,52,0.20618
10,720,163,0.20587
10,720,285,0.20577
10,719,221,0.20568
10,718,3006,0.20554
10,718,122,0.20538
10,717,3168,0.2052
10,717,590,0.2052
10,716,897,0.20518
10,716,85,0.20516
10,716,85,0.20516
10,714,74,0.20513
10,712,33,0.2048
10,712,85,0.20444
10,712,2102,0.20444
10,711,215,0.2043
10,710,355,0.20423
10,706,394,0.20422
10,706,42,0.2042
10,702,6373,0.20416
10,699,51,0.20412
10,698,115,0.204
10,697,1740,0.20383
10,695,999,0.20374
10,692,2584,0.20358
10,692,1839,0.20343
10,691,241,0.20333
10,690,2134,0.20331
10,689,344,0.20318
10,688,146,0.20311
10,688,432,0.20308
10,686,6212,0.20289
10,686,333,0.20284
10,686,51,0.20277
10,684,94,0.20277
10,684,837,0.20242
10,682,30,0.20223
10,680,4867,0.20215
10,680,87,0.202
10,680,205,0.20185
10,680,139,0.20156
10,679,156,0.20141
10,676,5257,0.20138
10,667,550,0.2013
10,666,37,0.2009
10,665,30,0.20086
10,664,118,0.20083
10,664,59,0.20076
10,663,1415,0.20065
10,661,1184,0.20058
10,660,44,0.20018
10,657,1553,0.20017
10,656,5247,0.20012
10,656,635,0.20008
10,655,79,0.19994
10,654,3621,0.19983
10,653,872,0.19973
10,651,173,0.19968
10,650,142,0.19958
10,649,182,0.19952
10,648,92,0.19922
10,647,1820,0.19919
10,646,511,0.19917
10,641,164,0.19891
10,640,221,0.19858
10,640,5932,0.19857
