Length,Spost,Epost,Score
142,11992,1838,1.33457
49,7021,1227,1.16113
45,7020,169,1.10203
44,7014,1229,1.04245
41,7003,3357,1.01653
40,6981,2340,0.99469
40,6980,178,0.99079
40,6968,515,0.87452
38,6950,40,0.85149
37,6941,40,0.8416
36,6913,110,0.82903
34,6908,158,0.82523
34,6886,417,0.80367
34,6875,213,0.79229
34,6853,470,0.72574
34,6851,139,0.72203
34,6801,165,0.68894
33,6789,323,0.68817
32,6775,778,0.68229
32,6750,162,0.67807
32,6749,2234,0.67651
32,6749,32,0.67588
29,6682,70,0.6746
29,6669,235,0.67284
28,6669,1090,0.65942
28,6566,99,0.65308
27,6516,1221,0.64755
25,6501,139,0.64601
25,6499,1220,0.64383
25,6453,337,0.63754
25,6443,355,0.63354
25,6437,747,0.62973
25,6429,712,0.61723
25,6412,201,0.61393
25,6383,100,0.61178
25,6365,16,0.59922
25,6287,3483,0.59843
25,6219,1115,0.59802
25,6213,290,0.59755
25,6204,121,0.59665
25,6165,70,0.59565
25,6157,725,0.58649
24,6154,2234,0.58471
23,6148,32,0.58457
23,6109,4617,0.58284
23,6102,378,0.58207
23,6101,378,0.581
21,6100,329,0.57888
21,6081,1582,0.57878
21,6032,1573,0.57878
21,6006,2040,0.57821
21,6002,123,0.57675
20,5989,205,0.57615
20,5924,466,0.57004
20,5916,1220,0.56424
20,5914,165,0.56236
20,5908,3144,0.56221
20,5814,2134,0.55723
20,5766,109,0.55484
20,5721,1219,0.55468
20,5710,164,0.5533
20,5686,1569,0.55309
20,5679,705,0.54576
20,5622,39,0.54323
20,5615,242,0.54282
20,5587,300,0.54177
20,5563,165,0.53967
20,5542,241,0.53954
20,5533,1397,0.53797
20,5533,2140,0.53767
20,5470,2140,0.53767
20,5455,466,0.53476
20,5455,2233,0.53331
20,5322,5317,0.52975
20,5318,521,0.52159
20,5315,1219,0.52143
20,5314,75,0.52017
20,5308,649,0.51952
20,5308,175,0.51904
20,5303,68,0.51486
20,5298,25,0.5136
20,5269,523,0.51349
20,5268,6989,0.51074
20,5267,74,0.50999
20,5267,70,0.50728
20,5264,23,0.50646
20,5253,18,0.5057
20,5248,244,0.50563
20,5247,5140,0.50508
20,5246,155,0.50495
20,5246,633,0.50482
20,5243,198,0.50244
19,5238,126,0.50237
19,5233,150,0.50076
19,5228,3060,0.49762
19,5223,654,0.49742
19,5213,66,0.49651
19,5150,846,0.49562
19,5133,60,0.49494
19,5133,587,0.49342
19,5133,114,0.49272
19,5130,350,0.49036
19,5128,59,0.48701
19,5126,97,0.48645
19,5123,119,0.48393
19,5118,55,0.4821
19,5113,63,0.48138
19,5108,28,0.47697
19,5088,66,0.47577
19,5084,2330,0.47437
19,5083,476,0.47141
19,5078,654,0.47098
19,5073,192,0.46943
19,5073,164,0.46943
19,5072,159,0.46943
19,5046,1085,0.46814
19,5038,140,0.46671
19,5025,133,0.46371
19,5001,6677,0.46197
18,4998,323,0.46101
18,4993,3559,0.46046
18,4985,388,0.45984
18,4983,20,0.45941
18,4977,6221,0.45878
18,4971,357,0.45864
18,4945,195,0.45751
18,4943,1477,0.45722
18,4926,19,0.45388
18,4923,2331,0.45285
18,4918,100,0.45158
18,4913,391,0.45143
18,4911,2330,0.4511
18,4892,5142,0.45089
18,4892,1689,0.45032
18,4878,785,0.44997
18,4863,225,0.44766
18,4859,2925,0.44734
18,4854,1275,0.44567
18,4853,6014,0.44421
18,4848,387,0.44352
18,4847,475,0.44198
18,4842,346,0.44116
18,4833,2340,0.44108
18,4827,1219,0.44034
18,4823,69,0.4402
18,4810,142,0.43975
18,4808,2815,0.43925
18,4803,2135,0.43883
18,4788,45,0.43714
18,4758,739,0.43704
18,4733,25,0.43688
18,4732,77,0.43459
18,4730,1120,0.43448
18,4728,287,0.43426
18,4726,575,0.43329
18,4725,2141,0.43321
18,4724,968,0.43224
18,4718,476,0.43221
18,4716,547,0.42827
18,4713,370,0.42774
18,4710,57,0.42761
18,4708,2362,0.42756
18,4699,315,0.42705
18,4698,730,0.42698
18,4693,4102,0.42604
18,4688,127,0.42566
18,4678,50,0.42508
18,4673,25,0.42412
18,4673,335,0.42361
18,4645,985,0.42353
18,4638,846,0.42261
18,4633,3173,0.42232
18,4632,335,0.42198
18,4608,582,0.42182
18,4603,14,0.41944
18,4598,625,0.41924
18,4588,3390,0.4178
18,4586,1220,0.41673
18,4583,1569,0.41371
18,4568,73,0.41305
18,4558,2025,0.41093
18,4558,1217,0.41077
18,4557,1000,0.40949
18,4548,15,0.40941
18,4533,5137,0.40939
18,4518,2340,0.40924
17,4515,118,0.40908
17,4514,226,0.40896
17,4514,447,0.40785
17,4513,107,0.40697
17,4488,372,0.40584
17,4473,1081,0.40561
17,4472,55,0.40558
17,4456,105,0.40485
17,4443,2953,0.40449
17,4433,846,0.4037
17,4433,5263,0.40333
17,4423,162,0.40315
17,4419,42,0.40308
17,4266,179,0.40082
17,4265,127,0.40066
17,4227,1094,0.40058
16,4164,1824,0.39956
16,4163,949,0.39949
16,4163,163,0.39908
16,4094,859,0.39884
16,4093,1984,0.39853
16,4090,1982,0.39835
16,4089,305,0.39833
16,4083,14,0.39679
16,4082,1184,0.3957
16,4082,159,0.39525
16,4070,1193,0.395
16,4044,125,0.3947
16,4039,174,0.39443
16,3951,106,0.39438
16,3898,730,0.39278
16,3895,1368,0.39222
16,3768,1085,0.39118
16,3760,245,0.39084
16,3753,738,0.39067
16,3752,4647,0.39008
15,3748,48,0.38968
15,3743,2371,0.38891
15,3732,238,0.38888
15,3717,1125,0.38766
15,3711,338,0.38764
15,3705,377,0.38745
15,3693,2231,0.38636
15,3685,109,0.38616
15,3662,1224,0.38584
